open_secrets_id,full_name,first_name,last_name,state,chamber,top_donors_link,website,twitter,facebook,instagram,youtube,picture
N00009660,Steve Scalise,Steve,Scalise,La.,House ,https://www.opensecrets.org/members-of-congress/steve-scalise/contributors?cid=N00009660&cycle=2020&recs=100&type=C,scalise.house.gov,SteveScalise,RepSteveScalise,stevescalise,UCmYveHBVXVBRxl7GiCL-gjw,steve_scalise.png
N00029147,Andy Harris,Andy,Harris,Md.,House ,https://www.opensecrets.org/members-of-congress/andy-harris/contributors?cid=N00029147&cycle=2020&recs=100&type=C,harris.house.gov,RepAndyHarrisMD,AndyHarrisMD,,,andy_harris.png
N00039533,Jack Bergman,Jack,Bergman,Mich.,House ,https://www.opensecrets.org/members-of-congress/jack-bergman/contributors?cid=N00039533&cycle=2020&recs=100&type=C,bergman.house.gov,JackBergman_MI1,RepJackBergman,repjackbergman,UCKrkKLwcZs7bUehe6ub9Vsg,jack_bergman.png
,Lisa McClain,Lisa,McClain,Mich.,House ,,mcclain.house.gov,LisaForCongress,,lisamcclainforcongress,,lisa_mcclain.png
N00026368,Tim Walberg,Tim,Walberg,Mich.,House ,https://www.opensecrets.org/members-of-congress/tim-walberg/contributors?cid=N00026368&cycle=2020&recs=100&type=C,walberg.house.gov,TimWalberg,RepWalberg,repwalberg,UChpf3_3Wn8f3qSJbsYXrhvg,tim_walberg.png
,Michelle Fischbach,Michelle,Fischbach,Minn.,House ,,fischbachforcongress.com,FischbachMN7,MichelleFischbachForCongress,,UCkd5PyQxUml3EyYo1VpjxXw,michelle_fischbach.png
N00031390,Jim Hagedorn,Jim,Hagedorn,Minn.,House ,https://www.opensecrets.org/members-of-congress/jim-hagedorn/contributors?cid=N00031390&cycle=2020&recs=100&type=C,hagedorn.house.gov,RepHagedorn,RepHagedorn,rephagedorn,,jim_hagedorn.png
N00042458,Michael Guest,Michael,Guest,Miss.,House ,https://www.opensecrets.org/members-of-congress/michael-guest/contributors?cid=N00042458&cycle=2020&recs=100&type=C,guest.house.gov,GuestCongress,RepMichaelGuest,repmichaelguest,,michael_guest.png
N00037003,Trent Kelly,Trent,Kelly,Miss.,House ,https://www.opensecrets.org/members-of-congress/trent-kelly/contributors?cid=N00037003&cycle=2020&recs=100&type=C,trentkelly.house.gov,RepTrentKelly,TrentKellyforCongress,reptrentkelly,UCtDrz-8tdg4ZgOAQHToSWaQ,trent_kelly.png
N00031958,Steven Palazzo,Steven,Palazzo,Miss.,House ,https://www.opensecrets.org/members-of-congress/steven-palazzo/contributors?cid=N00031958&cycle=2020&recs=100&type=C,palazzo.house.gov,CongPalazzo,stevenpalazzo,congressmanpalazzo,,steven_palazzo.png
N00013323,Sam Graves,Sam,Graves,Mo.,House ,https://www.opensecrets.org/members-of-congress/sam-graves/contributors?cid=N00013323&cycle=2020&recs=100&type=C,graves.house.gov,RepSamGraves,sam.graves.946,repsamgraves,UCdg2ybvoHsSW6t7iJnKHlNg,sam_graves.png
N00031005,Vicky Hartzler,Vicky,Hartzler,Mo.,House ,https://www.opensecrets.org/members-of-congress/vicky-hartzler/contributors?cid=N00031005&cycle=2020&recs=100&type=C,hartzler.house.gov,RepHartzler,vickyforcongress,rephartzler,UCAvttUz6qBVEJiFt7p_MZxw,vicky_hartzler.png
N00030676,Billy Long,Billy,Long,Mo.,House ,https://www.opensecrets.org/members-of-congress/billy-long/contributors?cid=N00030676&cycle=2020&recs=100&type=C,long.house.gov,USRepLong,Rep.Billy.Long,,UCLQcbyxpHXXAsUJckscQY8g,billy_long.png
N00030026,Blaine Luetkemeyer,Blaine,Luetkemeyer,Mo.,House ,https://www.opensecrets.org/members-of-congress/blaine-luetkemeyer/contributors?cid=N00030026&cycle=2020&recs=100&type=C,luetkemeyer.house.gov,LuetkemeyerB,BlaineLuetkemeyer,repblaine,,blaine_luetkemeyer.png
N00035282,Jason Smith,Jason,Smith,Mo.,House ,https://www.opensecrets.org/members-of-congress/jason-smith/contributors?cid=N00035282&cycle=2020&recs=100&type=C,jasonsmith.house.gov,JasonSmithMO,repjasonsmith,repjasonsmith,,jason_smith.png
,Matt Rosendale,Matt,Rosendale,Mont.,House ,,mattformontana.com,MattForMontana,MattForMontana,mattformontana,UCzTAOdmoXUR2DvVdmkHU-HA,matt_rosendale.png
